Category,Class,Key words
CLA type,Concluded on national level,Conseil national du travail
CLA type,Concluded on national level,www.cnt-nar.be
CLA type,Concluded on industry level,
New or update,New,
New or update,Update,erratum
New or update,Update,correction
New or update,Update,modifié
Sector,INDUSTRIE DES CARRIERES,CARRIERES
Sector,INDUSTRIE DE LA RECUPERATION,RECUPERATION
Sector,INDUSTRIE SIDERURGIQUE,SIDERURGIQUE
Sector,INDUSTRIE DU CIMENT,CIMENT
Sector,INDUSTRIE DU BETON,BETON
Sector,FIBROCIMENT,FIBROCIMENT
Sector,INDUSTRIE HABILLEMENT ET DE LA CONFECTION,HABILLEMENT
Sector,INDUSTRIE HABILLEMENT ET DE LA CONFECTION,CONFECTION
Sector,ENTRETIEN DU TEXTILE,ENTRETITEXTILE
Sector,"CONSTRUCTIONS METALLIQUE, MECANIQUE ET ELECTRIQUE",CONSTRUCTIONS
Sector,"CONSTRUCTIONS METALLIQUE, MECANIQUE ET ELECTRIQUE",METALLIQUE
Sector,"CONSTRUCTIONS METALLIQUE, MECANIQUE ET ELECTRIQUE",MECANIQUE
Sector,"CONSTRUCTIONS METALLIQUE, MECANIQUE ET ELECTRIQUE",ELECTRIQUE
Sector,ENTREPRISES DE GARAGE,GARAGE
Sector,INDUSTRIE CERAMIQUE,CERAMIQUE
Sector,"TAILLEURS, DES TAILLEUSES ET COUTURIERES",TAILLEURS
Sector,"TAILLEURS, DES TAILLEUSES ET COUTURIERES",TAILLEUSES
Sector,"TAILLEURS, DES TAILLEUSES ET COUTURIERES",COUTURIERES
Sector,"INDUSTRIE DE LA FAIENCE ET DE LA PORCELAINE, DES ARTICLES SANITAIRES ET DES ABRASIFS ET DES POTERIES CERAMIQUES",FAIENCE
Sector,"INDUSTRIE DE LA FAIENCE ET DE LA PORCELAINE, DES ARTICLES SANITAIRES ET DES ABRASIFS ET DES POTERIES CERAMIQUES",PORCELAINE
Sector,"INDUSTRIE DE LA FAIENCE ET DE LA PORCELAINE, DES ARTICLES SANITAIRES ET DES ABRASIFS ET DES POTERIES CERAMIQUES",ARTICLES SANITAIRES
Sector,"INDUSTRIE DE LA FAIENCE ET DE LA PORCELAINE, DES ARTICLES SANITAIRES ET DES ABRASIFS ET DES POTERIES CERAMIQUES",ABRASIFS
Sector,"INDUSTRIE DE LA FAIENCE ET DE LA PORCELAINE, DES ARTICLES SANITAIRES ET DES ABRASIFS ET DES POTERIES CERAMIQUES",POTERIES CERAMIQUES
Sector,ENTREPRISES DE CARREAUX CERAMIQUES REVETEMENT ET PAVEMENT,CARREAUX CERAMIQUES
Sector,ENTREPRISES DE CARREAUX CERAMIQUES REVETEMENT ET PAVEMENT,REVETEMENT
Sector,ENTREPRISES DE CARREAUX CERAMIQUES REVETEMENT ET PAVEMENT,PAVEMENT
Sector,PRODUITS REFRACTAIRES,REFRACTAIRES
Sector,TUILERIES,TUILERIES
Sector,TUYAUX ET POTS EN GRES,GRES
Sector,TUYAUX ET POTS EN GRES,TUYAUX
Sector,TUYAUX ET POTS EN GRES,POTS EN GRES
Sector,INDUSTRIE DES BRIQUES,BRIQUES
Sector,INDUSTRIE VERRIERE,VERRIERE
